 7111605.068426 1.127E-28 1.075E-03.04100.042 1992.11650.640.000000       b      0       X      1                R 17R 17     d50600049 5 5 0 0 0    37.0   35.0
 7111607.194550 1.225E-28 1.157E-03.04100.042 1989.99040.640.000000       b      0       X      1                R 17Q 18     d50600049 5 5 0 0 0    37.0   37.0
 7111608.294224 7.556E-29 1.084E-03.04000.041 2097.08890.630.000000       b      0       X      1                R 19R 19     d50600049 5 5 0 0 0    41.0   39.0
 7111610.439009 8.154E-29 1.158E-03.04000.041 2094.94410.630.000000       b      0       X      1                R 19Q 20     d50600049 5 5 0 0 0    41.0   41.0
 7111611.255034 4.743E-29 1.091E-03.03900.040 2213.34780.630.000000       b      0       X      1                R 21R 21     d50600049 5 5 0 0 0    45.0   43.0
 7111613.418219 5.088E-29 1.159E-03.03900.040 2211.18460.630.000000       b      0       X      1                R 21Q 22     d50600049 5 5 0 0 0    45.0   45.0
 7111613.947704 2.794E-29 1.098E-03.03800.040 2340.87400.630.000000       b      0       X      1                R 23R 23     d50500049 5 5 0 0 0    49.0   47.0
 7111616.129098 2.982E-29 1.160E-03.03800.040 2338.69260.630.000000       b      0       X      1                R 23Q 24     d50500049 5 5 0 0 0    49.0   49.0
 7112847.186492 4.866E-29 1.792E-02.03320.036 2790.83880.63-.009200       b      1       X      1                P 29P 29     d44544449 5 5 3 1 1    57.0   59.0
 7112848.943177 4.696E-29 1.715E-02.03320.036 2789.08210.63-.009100       b      1       X      1                P 29Q 28     d44544449 5 5 3 1 1    57.0   57.0
 7112849.566990 2.900E-31 6.312E-08.03320.036 1246.44860.63-.009100       b      0       X      0                N 29O 28     q5766534928 7 4 1 2    53.0   57.0
 7112858.256443 9.952E-29 1.804E-02.03540.037 2629.64320.63-.009100       b      1       X      1                P 27P 27     d44544449 5 5 3 1 1    53.0   55.0
 7112860.030627 9.574E-29 1.721E-02.03540.037 2627.86900.63-.009100       b      1       X      1                P 27Q 26     d44544449 5 5 3 1 1    53.0   53.0
 7112868.928514 1.917E-28 1.816E-02.03760.040 2479.64680.63-.008900       b      1       X      1                P 25P 25     d54544449 5 5 3 1 1    49.0   51.0
 7112870.720337 1.838E-28 1.726E-02.03760.040 2477.85490.63-.008900       b      1       X      1                P 25Q 24     d54544449 5 5 3 1 1    49.0   49.0
 7112871.388557 6.000E-31 6.417E-08.03540.037 1083.43320.63-.009100       b      0       X      0                N 27O 26     q6766534928 7 4 1 2    49.0   53.0
 7112879.204597 3.477E-28 1.830E-02.03980.042 2340.87400.63-.008900       b      1       X      1                P 23P 23     d54644449 5 5 3 1 1    45.0   47.0
 7112881.014237 3.319E-28 1.732E-02.03980.042 2339.06440.63-.008900       b      1       X      1                P 23Q 22     d54644449 5 5 3 1 1    45.0   45.0
 7112889.086356 5.929E-28 1.845E-02.04170.043 2213.34780.63-.008900       b      1       X      1                P 21P 21     d54644449 5 5 3 1 1    41.0   43.0
 7112890.914038 5.629E-28 1.737E-02.04170.043 2211.52010.64-.008500       b      1       X      1                P 21Q 20     d54644449 5 5 3 1 1    41.0   41.0
 7112892.859666 1.150E-30 6.429E-08.03760.039  931.74310.63-.008900       b      0       X      0                N 25O 24     q6766534928 7 4 1 2    45.0   49.0
 7112898.575221 9.492E-28 1.863E-02.04340.043 2097.08890.64-.008300       b      1       X      1                P 19P 19     d54644449 5 5 3 1 1    37.0   39.0
 7112899.260839 4.077E-29 2.167E-02.02230.027 2956.33740.63-.010000       b      0       X      0                P 45P 45     d48774549311613 6 6    89.0   91.0
 7112900.421240 8.956E-28 1.743E-02.04340.043 2095.24290.65-.007800       b      1       X      1                P 19Q 18     d54644449 5 5 3 1 1    37.0   37.0
 7112900.876487 3.994E-29 2.107E-02.02230.027 2954.72170.63-.010000       b      0       X      0                P 45Q 44     d48774549311613 6 6    89.0   89.0
 7112907.672398 1.424E-27 1.884E-02.04470.045 1992.11650.65-.007500       b      1       X      1                P 17P 17     d54644449 5 5 3 1 1    33.0   35.0
 7112909.537153 1.333E-27 1.748E-02.04470.045 1990.25170.65-.007400       b      1       X      1                P 17Q 16     d54644449 5 5 3 1 1    33.0   33.0
 7112913.221416 1.333E-28 2.179E-02.02280.028 2703.84430.63-.010000       b      0       X      0                P 43P 43     d48774549311613 6 6    85.0   87.0
 7112913.980003 2.110E-30 6.566E-08.03980.041  791.40310.63-.008900       b      0       X      0                N 23O 22     q6766534928 7 4 1 2    41.0   45.0
 7112914.853996 1.304E-28 2.115E-02.02280.028 2702.21170.63-.010000       b      0       X      0                P 43Q 42     d48774549311613 6 6    85.0   85.0
 7112916.378866 1.997E-27 1.909E-02.04580.047 1898.44770.66-.007400       b      1       X      1                P 15P 15     d54644449 5 5 3 1 1    29.0   31.0
 7112918.262914 1.852E-27 1.755E-02.04580.047 1896.56370.67-.007400       b      1       X      1                P 15Q 14     d54644449 5 5 3 1 1    29.0   29.0
 7112924.695383 2.609E-27 1.942E-02.04680.048 1816.09790.70-.007400       b      1       X      1                P 13P 13     d54644449 5 5 3 1 1    25.0   27.0
 7112926.599544 2.389E-27 1.762E-02.04680.048 1814.19370.72-.007400       b      1       X      1                P 13Q 12     d54644449 5 5 3 1 1    25.0   25.0
 7112926.782966 4.120E-28 2.191E-02.02340.029 2462.41300.63-.010000       b      0       X      0                P 41P 41     d58774549311613 6 6    81.0   83.0
 7112928.432517 4.025E-28 2.123E-02.02340.029 2460.76340.63-.010000       b      0       X      0                P 41Q 40     d58774549311613 6 6    81.0   81.0
 7112932.622484 3.160E-27 1.985E-02.04780.049 1745.08060.72-.007550       b      1       X      1                P 11P 11     d54644449 5 5 3 1 1    21.0   23.0
 7112934.548040 2.844E-27 1.770E-02.04780.049 1743.15500.73-.007500       b      1       X      1                P 11Q 10     d54644449 5 5 3 1 1    21.0   21.0
 7112934.749055 3.620E-30 6.690E-08.04170.042  662.43590.64-.008500       b      0       X      0                N 21O 20     q6766534928 7 4 1 2    37.0   41.0
 7112939.949081 1.204E-27 2.203E-02.02460.029 2232.08280.63-.010000       b      0       X      0                P 39P 39     d58774549311613 6 6    77.0   79.0
 7112940.160485 3.522E-27 2.047E-02.04910.049 1685.40730.74-.007500       b      1       X      1                P  9P  9     d54644449 5 5 3 1 1    17.0   19.0
 7112941.615649 1.174E-27 2.131E-02.02460.029 2230.41620.63-.010000       b      0       X      0                P 39Q 38     d58774549311613 6 6    77.0   77.0
 7112942.109614 3.093E-27 1.781E-02.04910.049 1683.45810.74-.007300       b      1       X      1                P  9Q  8     d54644449 5 5 3 1 1    17.0   17.0
 7112947.309483 3.565E-27 2.145E-02.05070.052 1637.08780.73-.007000       b      1       X      1                P  7P  7     d54644449 5 5 3 1 1    13.0   15.0
 7112949.286368 3.014E-27 1.796E-02.05070.052 1635.11090.73-.007100       b      1       X      1                P  7Q  6     d54644449 5 5 3 1 1    13.0   13.0
 7112952.723108 3.324E-27 2.215E-02.02570.030 2012.89140.63-.010000       b      0       X      0                P 37P 37     d58774549311613 6 6    73.0   75.0
 7112954.069357 3.202E-27 2.327E-02.05300.053 1600.13010.74-.007100       b      1       X      1                P  5P  5     d54644449 5 5 3 1 1     9.0   11.0
 7112954.406746 3.237E-27 2.140E-02.02570.030 2011.20770.63-.010000       b      0       X      0                P 37Q 36     d58774549311613 6 6    73.0   73.0
 7112955.166113 5.860E-30 6.879E-08.04340.043  544.86220.65-.007800       b      0       X      0                N 19O 18     q6766534928 7 4 1 2    33.0   37.0
 7112956.083781 2.532E-27 1.823E-02.05300.053 1598.11570.72-.006450       b      1       X      1                P  5Q  4     d54644449 5 5 3 1 1     9.0    9.0
 7112960.439772 2.418E-27 2.796E-02.05630.055 1574.54010.70-.005600       b      1       X      1                P  3P  3     d54644449 5 5 3 1 1     5.0    7.0
 7112962.525404 1.650E-27 1.890E-02.05630.055 1572.45450.71-.005100       b      1       X      1                P  3Q  2     d54644449 5 5 3 1 1     5.0    5.0
 7112965.108152 8.666E-27 2.227E-02.02670.032 1804.87450.63-.009700       b      0       X      0                P 35P 35     d58774549311613 6 6    69.0   71.0
 7112966.420175 1.296E-27 7.000E-02.06150.059 1560.32210.72-.005200       b      1       X      1                P  1P  1     d54644449 5 5 3 1 1     1.0    3.0
 7112966.808919 8.422E-27 2.147E-02.02670.032 1803.17370.63-.009600       b      0       X      0                P 35Q 34     d58774549311613 6 6    69.0   69.0
 7112974.657767 6.486E-28 7.015E-03.05630.055 1560.32210.71-.005000       b      1       X      1                R  1R  1     d54644449 5 5 3 1 1     5.0    3.0
 7112975.230294 8.830E-30 7.062E-08.04470.044  438.70100.65-.007400       b      0       X      0                N 17O 16     q6766534928 7 4 1 2    29.0   33.0
 7112976.542883 1.505E-27 1.613E-02.05630.055 1558.43700.71-.005100       b      1       X      1                R  1Q  2     d54644449 5 5 3 1 1     5.0    5.0
 7112977.107080 2.133E-26 2.239E-02.02910.033 1608.06610.63-.010777       b      0       X      0                P 33P 33     d58774549311613 6 6    65.0   67.0
 7112978.825046 2.068E-26 2.153E-02.02950.033 1606.34820.63-.010583       b      0       X      0                P 33Q 32     d58774549311613 6 6    65.0   65.0
 7112979.659308 1.817E-27 1.171E-02.05300.053 1574.54010.72-.005900       b      1       X      1                R  3R  3     d54644449 5 5 3 1 1     9.0    7.0
 7112981.615690 2.630E-27 1.679E-02.05300.053 1572.58380.72-.006450       b      1       X      1                R  3Q  4     d54644449 5 5 3 1 1     9.0    9.0
 7112984.267206 2.674E-27 1.352E-02.05070.052 1600.13010.73-.006100       b      1       X      1                R  5R  5     d54644449 5 5 3 1 1    13.0   11.0
 7112986.261218 3.404E-27 1.705E-02.05070.052 1598.13610.73-.007100       b      1       X      1                R  5Q  6     d54644449 5 5 3 1 1    13.0   13.0
 7112988.479939 3.130E-27 1.449E-02.04910.049 1637.08780.74-.006150       b      1       X      1                R  7R  7     d54644449 5 5 3 1 1    17.0   15.0
 7112988.722523 4.952E-26 2.252E-02.03150.034 1422.49830.63-.010564       b      0       X      0                P 31P 31     d58774549311613 6 6    61.0   63.0
 7112990.457770 4.790E-26 2.160E-02.03220.034 1420.76310.63-.010662       b      0       X      0                P 31Q 30     d58774549311613 6 6    61.0   61.0
 7112990.501832 3.749E-27 1.719E-02.04910.049 1635.06590.74-.007300       b      1       X      1                R  7Q  8     d54644449 5 5 3 1 1    17.0   17.0
 7112992.295768 3.182E-27 1.509E-02.04780.049 1685.40730.73-.006200       b      1       X      1                R  9R  9     d54644449 5 5 3 1 1    21.0   19.0
 7112994.341392 3.680E-27 1.729E-02.04780.049 1683.36160.73-.007500       b      1       X      1                R  9Q 10     d54644449 5 5 3 1 1    21.0   21.0
 7112994.940561 1.250E-29 7.340E-08.04580.046  343.96940.67-.007400       b      0       X      0                N 15O 14     q6766534928 7 4 1 2    25.0   29.0
 7112995.712738 2.911E-27 1.551E-02.04680.048 1745.08060.72-.006650       b      1       X      1                R 11R 11     d54644449 5 5 3 1 1    25.0   23.0
 7112997.779947 3.289E-27 1.735E-02.04680.048 1743.01330.72-.007400       b      1       X      1                R 11Q 12     d54644449 5 5 3 1 1    25.0   25.0
 7112998.728672 2.437E-27 1.581E-02.04580.047 1816.09790.67-.007200       b      1       X      1                R 13R 13     d54644449 5 5 3 1 1    29.0   27.0
 7112999.956884 1.084E-25 2.265E-02.03190.037 1248.20130.63-.011371       b      0       X      0                P 29P 29     d68774549311613 6 6    57.0   59.0
 7113000.816219 2.708E-27 1.740E-02.04580.047 1814.01040.67-.007400       b      1       X      1                R 13Q 14     d54644449 5 5 3 1 1    29.0   29.0
 7113001.341178 1.884E-27 1.604E-02.04470.045 1898.44770.65-.007300       b      1       X      1                R 15R 15     d54644449 5 5 3 1 1    33.0   31.0
 7113001.709510 1.046E-25 2.167E-02.03220.036 1246.44860.63-.011335       b      0       X      0                P 29Q 28     d68774549311613 6 6    57.0   57.0
 7113002.186320 1.440E-30 2.977E-07.03120.034 1245.97180.63-.009300       b      0       X      0                P 29O 30     q6766534928 7 4 1 2    57.0   61.0
 7113003.448276 2.069E-27 1.744E-02.04470.045 1896.34060.65-.007400       b      1       X      1                R 15Q 16     d54644449 5 5 3 1 1    33.0   33.0
 7113003.547640 1.355E-27 1.623E-02.04340.043 1992.11650.65-.007500       b      1       X      1                R 17R 17     d54644449 5 5 3 1 1    37.0   35.0
 7113005.345219 9.092E-28 1.637E-02.04170.043 2097.08890.64-.007300       b      1       X      1                R 19R 19     d54644449 5 5 3 1 1    41.0   39.0
 7113005.673764 1.474E-27 1.748E-02.04340.043 1989.99040.65-.007800       b      1       X      1                R 17Q 18     d54644449 5 5 3 1 1    37.0   37.0
 7113006.730853 5.711E-28 1.649E-02.03980.042 2213.34780.63-.008300       b      1       X      1                R 21R 21     d54644449 5 5 3 1 1    45.0   43.0
 7113007.490005 9.817E-28 1.750E-02.04170.043 2094.94410.64-.008500       b      1       X      1                R 19Q 20     d54644449 5 5 3 1 1    41.0   41.0
 7113007.701251 3.366E-28 1.659E-02.03760.040 2340.87400.63-.009100       b      1       X      1                R 23R 23     d54544449 5 5 3 1 1    49.0   47.0
 7113008.084672 4.763E-29 1.680E-02.03120.034 2790.83880.63-.009700       b      1       X      1                R 29R 29     d44544449 5 5 3 1 1    61.0   59.0
 7113008.252894 1.864E-28 1.668E-02.03540.037 2479.64680.63-.009300       b      1       X      1                R 25R 25     d54544449 5 5 3 1 1    53.0   51.0
 7113008.382030 9.708E-29 1.674E-02.03320.036 2629.64320.63-.009500       b      1       X      1                R 27R 27     d44544449 5 5 3 1 1    57.0   55.0
 7113008.894039 6.130E-28 1.752E-02.03980.042 2211.18460.63-.008900       b      1       X      1                R 21Q 22     d54644449 5 5 3 1 1    45.0   45.0
 7113009.882645 3.594E-28 1.754E-02.03760.040 2338.69260.63-.008900       b      1       X      1                R 23Q 24     d54544449 5 5 3 1 1    49.0   49.0
